strain,Arabinose,Butyrate,Deoxyribose,Glucuronic acid,Glycerol,Mannitol,Mannose,Melibiose,Propionate,Raffinose
HMWF001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMWF003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMWF005,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
HMWF006,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
HMWF008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMWF009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMWF010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HMWF013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMWF014,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
HMWF015,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
HMWF016,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0
HMWF017,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
HMWF018,1.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0
HMWF019,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
HMWF021,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
HMWF022,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HMWF023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMWF025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMWF026,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
HMWF028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMWF029,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
OTU2469,,,0.0,,0.0,0.0,0.0,0.0,,0.0
OTU3427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU3971,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
OTU4895,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
OTU4908,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
OTU5201,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
OTU530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OTU672,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OTU695,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
OTU736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pd19367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sia0102,,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0
sia0103,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sia0703,,1.0,,,1.0,,,,1.0,0.0
sia0901,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
sia0902,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
sia0905,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
sib0112,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
sib0115,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sib0205,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
sib0402,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sib0404,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0
sib0509,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sib0612,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sic0102,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sic0104,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sic0105,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
sic0204,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
sic0402,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
sic0404,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
sic0604,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
sic0702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sic1001,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sic1004,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,0.0
sic1005,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sic1102,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sic1205,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sic1506,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
sid0104,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
sid0204,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
sid0306,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sid0307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
sid0404,0.0,1.0,1.0,0.0,1.0,1.0,,,,
sid0406,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
sid0505,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
sid0601,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sid0605,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sid0705,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
sid0801,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
sid0901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sid1001,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
sid1006,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
sie0102,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sie1401,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
sie1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sif0513,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sif0514,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
sif0532,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
sif0611,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sif0613,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sif0617,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
sif0631,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
sif0715,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sif0732,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sif1233,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sif1732,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sif1831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sif1833,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
sif2231,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
sif2232,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
sif2233,1.0,,0.0,,1.0,1.0,1.0,0.0,,0.0
sif2332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sif2416,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
sif2431,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
sif2433,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
